factor,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,momentum_20_5,overnight_gap,intraday_return,ema20_distance,ema60_distance,ema20_60_spread,rsi14_centered,macd_hist_atr,breakout_position_60,trend_r2_20,realized_vol_5,realized_vol_20,vol_ratio_5_20,parkinson_vol_20,overnight_vol_20,downside_vol_20,volume_zscore_20,volume_trend_5_20,amihud_illiq_20,signed_volume_pressure_20,volume_cv_20,return_volume_corr_20,close_location_value,body_range_ratio,gap_followthrough_20,cs_rank_ret20,cs_rank_ret60,cs_rank_vol20,cs_rank_amihud20,return_autocorr_20,revenue_growth_yoy,gross_margin_change_yoy,operating_profitability,cashflow_to_assets,debt_to_assets,asset_growth_yoy
ret_1d,1.0,0.3906162334738057,0.22162049974726408,0.09820922608182042,0.08831168831168831,0.02467276572592688,0.2836857506662464,0.8633946056104749,0.3776350662101767,0.20204072102077675,0.02772664806858733,0.3172936392654939,0.18133321942610295,0.23829843659042546,0.0005687419721743672,0.04442988878409056,0.024721662479753534,0.051875810094466054,0.008368207639194384,0.0166894165221277,-0.06558588824083454,0.036456699432561454,-0.003457866752278386,0.007128712871287128,0.20330970915158225,0.002829291417028687,0.0526613448027011,0.6728116250972667,0.7995631555163105,-0.004866492409842967,0.22162049974726408,0.09820922608182042,0.024721662479753534,0.007128712871287128,-0.01276468463172848,-0.02709163920752492,-0.021290063148129302,-0.0005912626224170667,0.0026642758445740065,0.0013059464867324565,0.007890152611512954
ret_5d,0.3906162334738057,1.0,0.4701523740443793,0.27607560756075605,0.19164212076583212,0.008893637937121666,0.11607895613300409,0.36375583212130297,0.729671333480918,0.48387669355511187,0.16028051100923263,0.6394710206411645,0.5900716589912521,0.4726146793140963,0.02324032403240324,-0.01704635769699419,-0.011965196519651965,-0.030321583178726037,-0.01756381760625042,-0.013379195062363378,-0.2359739516361818,-0.004308247151245737,-0.005235269871401195,0.012493249324932492,0.3651706125747386,-0.016399639963996397,0.20259225922592258,0.3054669140383426,0.3429352851977603,-0.00046804680468046805,0.4701523740443793,0.27607560756075605,-0.011965196519651965,0.012493249324932492,-0.017845784578457848,0.011288266503008173,0.02646900456124275,0.005547025106497228,0.02431184680299408,0.01567460896959786,0.025578615174956083
ret_20d,0.22162049974726408,0.4701523740443793,1.0,0.573546117603555,0.3989239332096475,0.8470327032703271,0.06530667455026588,0.18530085626072312,0.8592499249924993,0.8101410141014102,0.5884128412841285,0.86263386558517,0.4737056665113177,0.734161319166842,0.16571857185718572,-0.05765376537653766,-0.05236723672367237,-0.017143714371437142,-0.040600060006000596,-0.05962135967436424,-0.4589734075448361,-0.02456045604560456,-0.03338733873387339,0.008382838283828383,0.7189618961896189,-0.08391839183918393,0.5147194719471948,0.16588605123398936,0.18095007435739613,-0.015703570357035703,1.0,0.573546117603555,-0.05236723672367237,0.008382838283828383,-0.013063306330633063,0.06293486797456954,0.012073765324343646,0.017740479919075784,0.058009235513235086,0.009359850768895643,0.0393742929838007
ret_60d,0.09820922608182042,0.27607560756075605,0.573546117603555,1.0,0.6735193519351935,0.494561413247363,0.015493389436958428,0.0973671846684199,0.599057905790579,0.8667266726672667,0.9199519951995199,0.6700180630307928,-0.02877232621221306,0.7992914822725699,0.08703039213031338,-0.06292229222922292,-0.07793529892122392,-0.003180912742021099,-0.03332507666924908,-0.0648964896489649,-0.30314431443144313,-0.020472332947580475,-0.010849084908490849,0.004239193538541736,0.40584458445844585,-0.04438937771328154,0.31967596759675965,0.09894389438943894,0.10284428442844284,-0.03956195619561956,0.573546117603555,1.0,-0.07793529892122392,0.004239193538541736,-0.011833183318331834,0.09034781644837045,0.01038029125136581,0.08302544602127468,0.07998937147883073,-0.0004744863234174006,0.06424982819661215
ret_120d,0.08831168831168831,0.19164212076583212,0.3989239332096475,0.6735193519351935,1.0,0.3400300030003,0.02051043373645358,0.08357635763576357,0.3940800547022933,0.658973897389739,0.7695529552955296,0.4594861140332422,-0.04639175257731959,0.557971797179718,0.0429465600673259,-0.04799279927992799,-0.04895289528952895,-0.01654965496549655,-0.016477647764776476,-0.05693772354302546,-0.21018901890189018,-0.019741974197419743,-0.014701470147014702,0.023546354635463545,0.30250225022502253,-0.005832583258325833,0.2010018552875696,0.07877587758775878,0.08827509233490777,-0.011233123312331233,0.3989239332096475,0.6735193519351935,-0.04895289528952895,0.023546354635463545,-0.010837083708370837,0.13158498945581323,0.025000637779506975,0.1315059944650485,0.12010510476114167,-0.026723585936837026,0.08421896668623118
momentum_20_5,0.02467276572592688,0.008893637937121666,0.8470327032703271,0.494561413247363,0.3400300030003,1.0,0.014755813353468272,0.03624904421853925,0.5340558233276349,0.6279087908790879,0.5831036827120541,0.598943894389439,0.2043744374437444,0.5733393339333933,0.13295685233366594,-0.052694727630768545,-0.03820300397386678,0.004090650281102169,-0.02341596057354526,-0.05588358835883588,-0.410987098709871,-0.022868286828682867,-0.029246924692469246,-0.004414054281506417,0.6156675667566757,-0.08418434937329206,0.44005400540054007,0.03941800415893236,0.02203824464079061,-0.02102573990581085,0.8470327032703271,0.494561413247363,-0.03820300397386678,-0.004414054281506417,-0.020006000600060005,0.04980332071874806,0.013049660918484678,0.012721611100015436,0.06800381634618792,0.025606170930877498,0.04702074154162032
overnight_gap,0.2836857506662464,0.11607895613300409,0.06530667455026588,0.015493389436958428,0.02051043373645358,0.014755813353468272,1.0,-0.11194604390674891,0.09033002569561631,0.04924721830047234,-0.012769315239527138,0.07510974318793377,0.04598295259417795,0.05310461547721049,0.01019507682644626,0.0004260438825218171,-0.0017672083154127627,0.0001218510119846661,-0.007996755395169572,-0.0025742740072927555,-0.024587977394993292,0.0005679179852430032,0.002652265226522652,-0.0234115459507564,0.0633125211899675,0.001850533306460901,0.03576335438297285,-0.04465046504650465,-0.1291034908653301,0.038009541330659743,0.06530667455026588,0.015493389436958428,-0.0017672083154127627,-0.0234115459507564,-0.022586326391719994,-0.010351484576432826,0.03305697202802885,-0.00935479193183148,0.006166857706507118,0.010767319872527175,0.027693420756556328
intraday_return,0.8633946056104749,0.36375583212130297,0.18530085626072312,0.0973671846684199,0.08357635763576357,0.03624904421853925,-0.11194604390674891,1.0,0.33330788056828187,0.20451882340777422,0.040636063606360635,0.2816933783637148,0.1681391425517086,0.22990742688828109,-0.007305740970183409,0.03390959560770926,0.006030603060306031,0.01248124812481248,0.0060612834637135075,-0.0054826946643488205,-0.059568324179356716,0.03834301021623307,0.0020776701923702037,0.02070929541933785,0.15120146599707943,0.016399639963996397,0.038048391563264915,0.7383929488048242,0.9415336978741677,-0.020054125234662483,0.18530085626072312,0.0973671846684199,0.006030603060306031,0.02070929541933785,-0.007224780228707191,-0.029523488243008357,-0.02701021711403504,-0.00021039791361009803,-0.002242458905743764,0.009071867955712194,-0.009437151451391351
ema20_distance,0.3776350662101767,0.729671333480918,0.8592499249924993,0.599057905790579,0.3940800547022933,0.5340558233276349,0.09033002569561631,0.33330788056828187,1.0,0.8511131113111311,0.5446191149727218,0.952173992909495,0.6172037203720373,0.7920925938322845,0.11773177317731773,-0.053929229657659644,-0.03346534653465347,-0.010663066306630664,-0.009900990099009901,-0.050999099909991,-0.41764176417641763,-0.020156015601560155,-0.019543954395439544,-0.000618061806180618,0.6323852385238524,-0.060351586179026064,0.43757442549430625,0.2746534653465347,0.3241649034412305,-0.02795079507950795,0.8592499249924993,0.599057905790579,-0.03346534653465347,-0.000618061806180618,-0.010913353064740516,0.043044213769043035,0.00681488791221049,0.013429829349799055,0.07304723726047262,0.007561045062554955,0.040564377628722406
ema60_distance,0.20204072102077675,0.48387669355511187,0.8101410141014102,0.8667266726672667,0.658973897389739,0.6279087908790879,0.04924721830047234,0.20451882340777422,0.8511131113111311,1.0,0.8780731502563259,0.892151452390137,0.24655865586558656,0.9014761476147615,0.11063247411949273,-0.07739378019434597,-0.07287152210908025,-0.008996063108309568,-0.031869186918691866,-0.06935493549354935,-0.4096404229103744,-0.018061806180618062,-0.021150584446199723,-0.013747374737473748,0.5902553928862274,-0.06936941156244807,0.43358535853585356,0.18165016501650166,0.19985721611897456,-0.03463546354635463,0.8101410141014102,0.8667266726672667,-0.07287152210908025,-0.013747374737473748,-0.015091509150915092,0.09172090861524004,0.02914637371352745,0.05739369023846802,0.0786960133178683,0.014223880353506546,0.055092499765598754
